Crash ID,SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,National Road Type
20201188,Riverina,Junee,Inner Regional Australia,Sub-arterial Road
20202038,Melbourne - Inner South,Bayside (Vic.),Major Cities of Australia,Arterial Road
20204047,Adelaide - West,Charles Sturt,Major Cities of Australia,Local Road
20203090,Queensland - Outback,Mornington,Very Remote Australia,Local Road
20201136,Illawarra,Wollongong,Major Cities of Australia,Local Road
20203004,Central Queensland,Rockhampton,Inner Regional Australia,National or State Highway
20202029,Latrobe - Gippsland,Wellington,Inner Regional Australia,Arterial Road
20203126,Central Queensland,Rockhampton,Inner Regional Australia,National or State Highway
20201174,Sydney - Sutherland,Sutherland,Major Cities of Australia,Arterial Road
20201208,Capital Region,Eurobodalla,Inner Regional Australia,Local Road
20205018,Western Australia - Wheat Belt,Wandering,Outer Regional Australia,Arterial Road
20201019,New England and North West,Tenterfield,Outer Regional Australia,Arterial Road
20205091,Western Australia - Outback (South),Esperance,Remote Australia,Arterial Road
20204046,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Inner Regional Australia,Collector Road
20203202,Darling Downs - Maranoa,Western Downs,Outer Regional Australia,Sub-arterial Road
20203208,Townsville,Burdekin,Outer Regional Australia,Local Road
20202169,North West,West Wimmera,Outer Regional Australia,Sub-arterial Road
20204028,South Australia - South East,Renmark Paringa,Outer Regional Australia,National or State Highway
20202046,Shepparton,Campaspe,Inner Regional Australia,Arterial Road
20205026,Perth - North East,Swan,Major Cities of Australia,Local Road
20205007,Western Australia - Wheat Belt,Cuballing,Outer Regional Australia,Local Road
20201001,Sydney - South West,Liverpool,Major Cities of Australia,Local Road
20203066,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Sub-arterial Road
20205024,Perth - North West,Wanneroo,Inner Regional Australia,Local Road
20202129,Geelong,Greater Geelong,Major Cities of Australia,Local Road
20202019,Melbourne - Inner South,Monash,Major Cities of Australia,National or State Highway
20202073,Melbourne - South East,Cardinia,Major Cities of Australia,Sub-arterial Road
20202153,Shepparton,Campaspe,Inner Regional Australia,Sub-arterial Road
20203115,Wide Bay,North Burnett,Outer Regional Australia,National or State Highway
20203088,Townsville,Townsville,Outer Regional Australia,National or State Highway
20205047,Perth - North East,Mundaring,Major Cities of Australia,Arterial Road
20202191,Bendigo,Greater Bendigo,Inner Regional Australia,Arterial Road
20205075,Perth - North West,Joondalup,Major Cities of Australia,Arterial Road
20206006,Hobart,Glenorchy,Inner Regional Australia,Local Road
20203189,Queensland - Outback,Barcaldine,Very Remote Australia,Local Road
20201194,Richmond - Tweed,Richmond Valley,Inner Regional Australia,Arterial Road
20203025,Townsville,Townsville,Outer Regional Australia,Local Road
20203086,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,National or State Highway
20203161,Gold Coast,Gold Coast,Major Cities of Australia,Collector Road
20202081,Mornington Peninsula,Frankston,Major Cities of Australia,National or State Highway
20203168,Gold Coast,Gold Coast,Major Cities of Australia,Collector Road
20202140,Bendigo,Greater Bendigo,Inner Regional Australia,National or State Highway
20205058,Bunbury,Nannup,Outer Regional Australia,Arterial Road
20201079,Far West and Orana,Broken Hill,Outer Regional Australia,Local Road
20204025,Adelaide - North,Salisbury,Major Cities of Australia,Local Road
20202125,Bendigo,Mount Alexander,Inner Regional Australia,National or State Highway
20204079,Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Sub-arterial Road
20202144,Hume,Mitchell,Inner Regional Australia,Arterial Road
20203065,Sunshine Coast,Sunshine Coast,Inner Regional Australia,Sub-arterial Road
20201009,Richmond - Tweed,Lismore,Inner Regional Australia,National or State Highway
20203100,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,National or State Highway
20203069,Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road
20201036,Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,Arterial Road
20208004,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Arterial Road
20205016,Perth - South East,Serpentine-Jarrahdale,Major Cities of Australia,Local Road
20204033,Adelaide - Central and Hills,Unley,Major Cities of Australia,Arterial Road
20201222,Richmond - Tweed,Byron,Inner Regional Australia,Access road
20201053,Illawarra,Wollongong,Inner Regional Australia,Arterial Road
20201061,Illawarra,Wollongong,Major Cities of Australia,Collector Road
20203061,Brisbane - South,Brisbane,Major Cities of Australia,Pedestrian Thoroughfare
20203215,Brisbane - North,Brisbane,Major Cities of Australia,Local Road
20201082,Sydney - South West,Liverpool,Major Cities of Australia,National or State Highway
20203023,Logan - Beaudesert,Logan,Major Cities of Australia,Local Road
20205078,Western Australia - Outback (South),Ngaanyatjarraku,Very Remote Australia,Arterial Road
20201122,Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,Collector Road
20204006,South Australia - South East,Coorong,Outer Regional Australia,Local Road
20202186,Melbourne - North East,Nillumbik,Major Cities of Australia,Arterial Road
20203078,Wide Bay,Fraser Coast,Inner Regional Australia,Sub-arterial Road
20201013,Sydney - Blacktown,Blacktown,Major Cities of Australia,National or State Highway
20203120,Wide Bay,North Burnett,Outer Regional Australia,National or State Highway
20207027,Darwin,Litchfield,Outer Regional Australia,National or State Highway
20201176,Central Coast,Central Coast (NSW),Major Cities of Australia,Collector Road
20201152,Central West,Lithgow,Inner Regional Australia,Arterial Road
20203028,Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,Local Road
20202121,Melbourne - Inner East,Whitehorse,Major Cities of Australia,National or State Highway
20204078,Adelaide - Central and Hills,Mount Barker,Inner Regional Australia,Local Road
20201068,Sydney - City and Inner South,Inner West,Major Cities of Australia,National or State Highway
20201014,Sydney - Parramatta,Parramatta,Major Cities of Australia,National or State Highway
20202183,Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,National or State Highway
20203003,Moreton Bay - North,Moreton Bay,Inner Regional Australia,Sub-arterial Road
20202002,Melbourne - West,Wyndham,Major Cities of Australia,National or State Highway
20201149,Riverina,Junee,Outer Regional Australia,Arterial Road
20203221,Moreton Bay - North,Moreton Bay,Major Cities of Australia,National or State Highway
20205080,Perth - North West,Joondalup,Major Cities of Australia,Local Road
20201184,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Collector Road
20205046,Mandurah,Mandurah,Major Cities of Australia,Local Road
20206004,West and North West,Circular Head,Outer Regional Australia,Local Road
20203248,Brisbane - South,Brisbane,Major Cities of Australia,Sub-arterial Road
20202057,Melbourne - North East,Whittlesea,Major Cities of Australia,Local Road
20201141,Sydney - South West,Liverpool,Major Cities of Australia,Local Road
20205097,Western Australia - Wheat Belt,Wandering,Outer Regional Australia,Arterial Road
20201214,Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,Local Road
20201010,Hunter Valley exc Newcastle,Cessnock,Major Cities of Australia,Arterial Road
20201127,Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,Sub-arterial Road
20203054,Wide Bay,Bundaberg,Inner Regional Australia,National or State Highway
20201057,Central West,Bathurst,Inner Regional Australia,Sub-arterial Road
20205034,Bunbury,Manjimup,Outer Regional Australia,Local Road
20205008,Perth - South West,Rockingham,Major Cities of Australia,National or State Highway
20201099,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,National or State Highway
20201246,Central West,Bathurst,Inner Regional Australia,Local Road
20202006,Melbourne - Inner East,Boroondara,Major Cities of Australia,Arterial Road
20203138,Queensland - Outback,Mount Isa,Remote Australia,Sub-arterial Road
20203091,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Local Road
20204041,South Australia - Outback,Wudinna,Very Remote Australia,Local Road
20202138,North West,West Wimmera,Outer Regional Australia,Sub-arterial Road
20202162,North West,Northern Grampians,Inner Regional Australia,National or State Highway
20206017,Hobart,Sorell,Outer Regional Australia,National or State Highway
20201029,Capital Region,Snowy Monaro,Inner Regional Australia,National or State Highway
20203192,Townsville,Charters Towers,Very Remote Australia,National or State Highway
20201256,Sydney - Eastern Suburbs,Randwick,Major Cities of Australia,Local Road
20205038,Perth - South East,Armadale,Major Cities of Australia,Local Road
20203240,Wide Bay,Gympie,Inner Regional Australia,Access road
20201216,New England and North West,Walcha,Outer Regional Australia,National or State Highway
20202077,Ballarat,Central Goldfields,Inner Regional Australia,Arterial Road
20205070,Perth - North West,Wanneroo,Major Cities of Australia,National or State Highway
20202135,Geelong,Greater Geelong,Major Cities of Australia,Sub-arterial Road
20202182,Warrnambool and South West,Warrnambool,Inner Regional Australia,Arterial Road
20202181,Latrobe - Gippsland,South Gippsland,Inner Regional Australia,Local Road
20203140,Brisbane - West,Brisbane,Inner Regional Australia,Sub-arterial Road
20202017,Latrobe - Gippsland,East Gippsland,Outer Regional Australia,Local Road
20202005,Melbourne - Inner,Darebin,Major Cities of Australia,Sub-arterial Road
20205103,Western Australia - Wheat Belt,Corrigin,Remote Australia,National or State Highway
20202042,Geelong,Greater Geelong,Major Cities of Australia,Local Road
20202027,Melbourne - West,Melton,Major Cities of Australia,Sub-arterial Road
20203186,Gold Coast,Gold Coast,Major Cities of Australia,Local Road
20201077,Newcastle and Lake Macquarie,Lake Macquarie,Inner Regional Australia,Sub-arterial Road
20203231,Gold Coast,Gold Coast,Major Cities of Australia,National or State Highway
20203150,Cairns,Cassowary Coast,Outer Regional Australia,Collector Road
20204058,South Australia - Outback,Anangu Pitjantjatjara Yankunytjatjara,Very Remote Australia,Local Road
20202155,Melbourne - Outer East,Knox,Major Cities of Australia,Arterial Road
20202173,North West,Northern Grampians,Inner Regional Australia,Local Road
20202074,Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,Arterial Road
20201183,Central Coast,Central Coast (NSW),Major Cities of Australia,Collector Road
20205006,Western Australia - Outback (North),Derby-West Kimberley,Very Remote Australia,National or State Highway
20205126,Western Australia - Wheat Belt,Gingin,Inner Regional Australia,Arterial Road
20201168,Riverina,Temora,Outer Regional Australia,Arterial Road
20205062,Western Australia - Wheat Belt,Plantagenet,Outer Regional Australia,National or State Highway
20203085,Gold Coast,Gold Coast,Major Cities of Australia,Collector Road
20204027,South Australia - Outback,Elliston,Very Remote Australia,Arterial Road
20202055,Shepparton,Greater Shepparton,Inner Regional Australia,National or State Highway
20204014,Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia,Collector Road
20202146,Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,Local Road
20204045,South Australia - South East,Renmark Paringa,Outer Regional Australia,Collector Road
20204077,Adelaide - North,Salisbury,Major Cities of Australia,Sub-arterial Road
20204064,Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia,Arterial Road
20205076,Perth - South West,Fremantle,Major Cities of Australia,Local Road
20202113,North West,Mildura,Outer Regional Australia,Local Road
20202030,Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,National or State Highway
20203082,Brisbane Inner City,Brisbane,Major Cities of Australia,Sub-arterial Road
20205113,Western Australia - Wheat Belt,Toodyay,Inner Regional Australia,Arterial Road
20203026,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Local Road
20201192,Central West,Parkes,Outer Regional Australia,Sub-arterial Road
20204024,South Australia - Outback,Streaky Bay,Very Remote Australia,Sub-arterial Road
20203145,Mackay - Isaac - Whitsunday,Mackay,Inner Regional Australia,Local Road
20204056,Barossa - Yorke - Mid North,Goyder,Inner Regional Australia,Sub-arterial Road
20203151,Brisbane - South,Brisbane,Major Cities of Australia,Collector Road
20203170,Wide Bay,South Burnett,Outer Regional Australia,National or State Highway
20204051,Barossa - Yorke - Mid North,Adelaide Plains,Inner Regional Australia,Local Road
20201221,Hunter Valley exc Newcastle,Singleton,Inner Regional Australia,Arterial Road
20201109,Hunter Valley exc Newcastle,Port Stephens,Major Cities of Australia,Arterial Road
20201113,Riverina,Federation,Outer Regional Australia,Sub-arterial Road
20202148,North West,Northern Grampians,Inner Regional Australia,Arterial Road
20201117,New England and North West,Inverell,Outer Regional Australia,National or State Highway
20201083,Capital Region,Yass Valley,Inner Regional Australia,Arterial Road
20202117,Latrobe - Gippsland,East Gippsland,Outer Regional Australia,National or State Highway
20204057,Barossa - Yorke - Mid North,Mount Remarkable,Outer Regional Australia,Arterial Road
20203182,Wide Bay,Bundaberg,Inner Regional Australia,Sub-arterial Road
20201260,Central Coast,Central Coast (NSW),Major Cities of Australia,Collector Road
